source_table,source_path,row_order,project_id,Project Name,Contract No,Employer,Contractor,Consultant,Baseline Name,Impacted Update Name,Data Date,Prepared By,Report Revision,Report Date,Delay Category,Primary Cause Family,Primary Claim Position,project_key,project_name,contract_number,employer,contractor,consultant,baseline_schedule_name,baseline_data_date,impacted_update_name,impacted_data_date,analysis_data_date,prepared_by,report_revision,report_date,calendar_name,contract_time_unit,project_finish_milestone_id,Activity ID,Activity Name,Resource ID,Register Building / Zone Allocation,Drive Activity Dates,BL Start,BL Finish,Start,Finish,Allocation Date,Allocation Ref,Act. Start Status,Act. Finish Status,Original Duration,Actual Duration,Deviated Duration,Budgeted Units,Available units supplied by client vs Actual units of activities,Delayed duration in days due to steel un avilability in site,Remaining Units,Units % Complete,Budgeted Units / Time,Responsibility,Reason for Delay,Responsibility.1,Reason for Delay.1,Note,BL critical Path,BL Longest Path,Updated Critical Path,Updated Longest Path,source_id,source_role,source_file_name,source_relative_path,source_sha256,file_date,received_date,source_owner,source_status,notes,Coding No.,Supplier,Total Quantity,Date of delivery,Clause / Topic,Location,Plain English Meaning,Research the Lines,Who Holds Leverage,Notice / Time Bar,Money Impact,Schedule Impact,Practical Action / Evidence,event_id,event_variant,event_name,event_category,responsible_party,notice_status,event_start,event_finish,claimed_delay_days,affected_activity_id,evidence_reference,causation_status,criticality_status,inclusion_in_integrated_eot,analyst_status,fragnet_activity_id,fragnet_activity_name,activity_type,original_duration_days,fragnet_start,fragnet_finish,data_date,activity_id,milestone_activity_name,before_total_float_days,before_forecast_finish,after_total_float_days,after_forecast_finish,float_change_days,finish_movement_calendar_days,impact_assessment,verification_status,Unnamed: 4,overlap_id,contractor_event_id,employer_event_id,overlap_start,overlap_finish,overlap_calendar_days,concurrent_delay_days,apportionment_method,concurrency_adjustment_days,included_in_adjustment,entitlement_position,Primary Event ID,Delayed duration,Overlap Start,Overlap Finish,BL Critical Path,Current Critical Path,Delayed duration after overlap,Concurrent delay,WBS,Building / Zone,Total Float,Longest Path,First Affected Flag,Predecessor Activity ID,Predecessor Relationship Type,Predecessor Lag,Successor Activity ID,Successor Relationship Type,Successor Lag,Fragment Start,Fragment Finish,Fragment Duration,evidence_id,evidence_type,document_date,time_bar_status,compensation_status,entitlement_status,Dia,RFT for RC Raft & Footings (B03) (footing) 196,RFT for RC Raft (B04) (Water Tank) 45.81,RFT for RC Raft & Footings (B02) (footing) 155.5,RFT for Columns & Walls Below SOG (B03) (footing),RFT for Columns & Walls Below SOG (B02) (footing),RFT for RC Raft & Footings (B01) (footing),RFT for Columns & Walls Below SOG (B01) (footing),"RFT for Walls, Col. & Cores (B03) (Bas 02)",RFT for Walls (B04) (Water Tank),RFT for RC Raft & Footings (B04) (footing) 192,RFT for Columns & Walls Below SOG (B04) (footing),"RFT for Walls, Col. & Cores (B02) (Bas 02)",1-Oct-25,1-Dec-25,1-Feb-26,1-May-26,scenario_id,scenario_name,status_date,baseline_progress_percent,impacted_progress_percent,recovery_progress_percent,baseline_finish,impacted_finish,recovery_finish,predecessor_activity_id,successor_activity_id,relationship_type,lag_days,p6_update_reference,source_file,source_sheet,source_row,release_id,release_status,approval_status,baseline_project_finish,impacted_project_finish,gross_included_event_movement_days,integrated_eot_calendar_days,approved_matrix_reference,source_manifest_reference,approval_reference,approved_by,approved_date,reconciliation_id,issue_type,issue_description,historical_value,active_position,resolution_required,owner,status,artifact_id,artifact_type,artifact_title,output_filename,source_project_id,source_report_fingerprint,generated_at,review_status,publication_status
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,4,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clause 20.1 claim notice and time bar control,Clause 20.1,"Failure to submit timely notice, particulars, and monthly claim updates can waive or severely weaken time and money claims.","This is the highest-risk defence against every otherwise valid claim. The Delay TIA engine should treat notice compliance as a gating issue, not an administrative afterthought.",Employer unless Contractor has complete notice trail,Immediate protective notice; detailed particulars when available; repeat in monthly claim/variation account until resolved.,"Missed notice can defeat prolongation cost, disruption cost, variation recovery, and interest arguments.",Missed notice can defeat or weaken EOT even where the technical schedule impact exists.,Notice letters; submission receipts; Engineer/Employer acknowledgements; monthly claim account; updated particulars; claim register; evidence index; responsible-party chronology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,5,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delayed drawings, IFC revisions and Engineer instructions",Clause 1.9 / Clause 3.5 / Clause 8.4 / Clause 20.1,"Late drawings, delayed instructions, design revisions, or IFC conflicts may be Employer/Engineer risk when they stop approvals, procurement, inspection, or construction activities.","Use this for IFC conflict, revised structural drawings, missing information, delayed approvals, and RFI response delay. Entitlement depends on request date, required-by date, late response date, actual workface impact, and critical path effect.",Shared,Notify once information is late or revision impact is known; identify affected activities and required response date.,Potential prolongation or variation cost if the revision changes scope or causes non-concurrent delay.,"Potential EOT if late information delays critical design approval, procurement, inspection, or construction sequence.",RFI/submittal logs; drawing register; transmittals; revision clouds; response dates; approval workflow; impacted activities; predecessor/successor logic; TIA fragnet; notice letters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,6,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RFI and submittal response delay,Clause 1.9 / Clause 4.25 / General Requirements / Clause 20.1,"Late responses to RFIs, shop drawings, material approvals, or technical submittals can become a delay event where the response was required before work could proceed.",The key is not merely that an RFI was late; prove the answer was needed for a specific activity and that no reasonable alternate workfront avoided the impact.,Shared,Submit notice when response exceeds contractual/reasonable review period and affects planned work.,Potential cost only if delay is Employer/Engineer risk and not concurrent with Contractor delay.,Potential EOT where delayed response blocks critical or near-critical successor work.,RFI register; submittal register; submission/reply dates; required-by date; affected activity ID; blocked workfront records; consultant comments; programme update; mitigation attempts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,7,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Programme requirements and critical path proof,Clause 8.3 / General Requirements,"The programme must be a proper CPM/P6 programme with logic, resources/cost/cash-flow where required, and regular updates. Delay claims depend on accepted programme logic.","The Delay TIA is only as strong as the schedule data. Float, longest path, predecessors, successors, calendars, progress status, and data date must be traceable.","Employer if programme is missing, unapproved, or logic is weak; Contractor if statused updates are complete.",Submit/revise programmes and narratives on time; include delay impacts in monthly reporting and claim accounts.,Weak programme proof weakens prolongation and disruption claims.,Critical path and EOT proof depends on accepted/current logic and statused update windows.,Baseline programme; update schedules; XER/PDF exports; calendars; logic report; longest-path report; float report; progress narrative; recovery plans; TIA insertion files.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,8,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Concurrent delay and compensability separation,Clause 20.1 / EOT and claims principles,Concurrent Employer and Contractor delays may allow time relief but can block or reduce money recovery for the concurrent period.,"The concurrency matrix must split Employer delay, Contractor delay, neutral delay, and overlapping windows. Do not double count days. Separate entitlement to time from entitlement to cost.",Employer on money; Contractor may retain time protection if critical Employer delay is proven.,Notice still required for each Employer-risk event and each updated impact period.,No or reduced prolongation cost during true concurrency unless contract/legal position supports apportionment.,"Possible EOT for net critical delay, subject to causation and notice.",Concurrency matrix; event windows; responsible party coding; critical path comparison; float consumption; contractor delay register; mitigation records; narrative explaining net impact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,9,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment certification and 45-day payment period,Clause 14.3 / 14.5 / 14.7 / Appendix,"Payment entitlement depends on complete monthly statements, certification, and the contractual payment period. Late payment arguments require proof of valid submission and due date.","Use this for IPC delay, cash-flow stress, interest, and payment-related disruption. Payment delay is not automatically an EOT event unless a contractual suspension/right or proven critical resource impact exists.",Employer until submission completeness and due date are proven; Contractor if certified amounts remain unpaid beyond the period.,"Notify late/non-payment with invoice, certification, receipt date, due date, amount, and contractual interest calculation.","Potential unpaid balance, interest, financing/prolongation argument, or suspension-related cost subject to contract compliance.","Indirect only unless non-payment demonstrably caused resource demobilization, suspension, or critical productivity loss.",IPC submission; Engineer receipt; certified amount; payment due date; cheque/cash receipt; bank records; ageing table; resource impact records; notice of non-payment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,10,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly statements and material on site,Clause 14.3 / 14.5,Monthly statements include executed work and approved delivered materials/plants where conditions are satisfied.,"Material on site can support cash flow but must be approved, delivered, protected, insured/owned as required, and allocated to BOQ/payment items.",Shared,Submit complete monthly statement with supporting material records.,Incomplete documents delay certification/payment; complete material records improve recovery.,Indirect schedule relevance through cash-flow and material availability only.,Delivery notes; MIRs; invoices; photos; storage records; insurance/ownership records; BOQ allocation; monthly valuation backup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,11,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Variation instruction and changed scope procedure,Clause 13.1 / 13.3 / Clause 20.1,"Changes require instruction/approval and timely proposal or claim procedure. A variation can support time and money only when scope change, instruction, and impact are recorded.","Backfilling, revised drawings, omitted/added works, access changes, and authority-driven changes should be routed through the variation register and monthly claim account.",Shared,Give notice/proposal promptly and repeat open variation in monthly account.,"Preserves valuation of extra work, changed quantities, preliminaries, and prolongation where applicable.",Preserves EOT if the variation affects critical path or consumes float.,Instruction; drawing revision; VO register; quotation; cost build-up; BOQ comparison; programme impact; site records; monthly account entry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,12,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Discrepancies, ambiguities and document priority",Clause 1.5 / 1.8,Contract documents must be read together and priority rules govern conflicts. Ambiguities must be notified and clarified.,"Use this for drawing/specification conflicts, inconsistent BOQ/drawing scope, and IFC/RFI issues. The claim needs a clear ambiguity, timely notice, and reliance/impact proof.",Shared,Notify ambiguity/discrepancy immediately and request instruction before affected work proceeds where practical.,Potential variation/payment only if clarification changes scope or causes extra cost outside existing obligation.,Potential EOT if clarification delay or changed requirement affects critical path.,Conflicting documents; priority analysis; RFI; Engineer instruction; revised drawing; impact register; affected quantities; schedule fragment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,13,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Site access, possession and workfront availability",Clause 2.1 / Clause 4.6 / Clause 20.1,"Employer or third-party access constraints can be compensable/excusable only when the Contractor proves the workfront was required, ready, and unavailable.",Access claims fail when Contractor had other available workfaces or predecessor constraints. Link the obstruction to the activity logic and critical path.,Shared,"Notify access obstruction immediately with location, activity, required date, and photos.",Potential prolongation/disruption if Employer-risk and not concurrent.,Potential EOT if blocked access delays critical/near-critical work.,Handover records; access permits; photos; daily reports; affected activity IDs; alternate workfront analysis; correspondence; TIA fragment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,14,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Permits, authorities, utilities and dewatering exclusions",Clause 2.2 / Clause 4.19 / Appendix exclusions,"Some permits, utilities relocation/protection, dewatering, and Employer/Engineer site mobilization items are excluded or Employer-linked depending on facts and instructions.","Use this when delay is caused by authority, utility, dewatering, or excluded employer obligation. Must distinguish excluded scope from Contractor coordination obligations.",Contractor if exclusion/instruction is clear; Employer if coordination was Contractor obligation.,Notify as soon as authority/utility/dewatering issue affects work and request instruction.,Potential additional payment if excluded from contract amount or instructed as extra.,Potential EOT if critical path affected and not Contractor-caused.,Permit correspondence; authority letters; utility drawings; site photos; instructions; cost records; programme impact; mitigation log.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,15,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Measurement and re-measured quantities,Clause 12 / Agreement / Appendix,"The contract is re-measured and payment follows actual executed quantities, but BOQ quantity differences alone do not automatically create a claim.","Quantity growth becomes a time/money claim only if it is outside normal remeasurement, instructed as change, or affects critical path beyond tender risk.",Shared,Notify material quantity/time impact when the issue exceeds normal measurement administration.,Payment follows measured work; extra entitlement needs measurement records and clause basis.,Possible EOT only if quantity growth delays critical path and is not Contractor risk.,Survey sheets; IR approvals; quantity take-off; BOQ comparison; drawings; measurement sheets; progress records; schedule impact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,16,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fixed price, no BOQ warranty and escalation limits",Agreement / Appendix / price adjustment provisions,"The accepted amount is fixed/final and the Employer gives no BOQ quantity warranty, except specific concrete/steel adjustment mechanisms.",This is an Employer defence against general escalation and quantity surprise claims. Keep steel/concrete price adjustment separate from delay/EOT entitlement.,Employer,Use the allowed price-adjustment procedure and claim notices where delay/responsibility is involved.,Blocks broad inflation claims; may allow concrete/steel CAPMAS adjustment if conditions are met.,No direct EOT from price movement; only linked delay events matter.,CAPMAS indices; baseline prices; procurement dates; delay responsibility; BOQ/drawing comparison; notice; calculation workbook.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,17,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rate of progress and recovery plan,Clause 8.6 / General Requirements,"If progress is too slow, the Contractor may need to revise methods, add resources, or submit recovery plans.","Employer may use this against EOT if delay is caused by poor productivity, lack of resources, or failure to mitigate. Contractor should separate Employer-risk events from own recovery obligations.",Employer unless Contractor shows external critical delay and reasonable mitigation.,Recovery notices and revised programmes should be answered with cause analysis and reservation of rights.,Acceleration/recovery at Contractor cost if Contractor-caused; potential cost claim only if instructed acceleration after Employer delay.,Recovery plan affects forecast completion and mitigation narrative.,Progress S-curves; manpower/equipment histograms; recovery programme; cause coding; mitigation records; correspondence reserving rights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,18,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delay damages and milestone exposure,Appendix / Clause 8.2 / Clause 8.7 / 8-month structural milestone,Completion dates and milestones create delay-damages exposure unless EOT is granted for qualifying delays.,Use this to quantify management risk: EOT is both entitlement and defence against delay damages. Milestone delay needs separate activity-to-milestone traceability.,Employer if no EOT; Contractor if EOT proof is strong.,EOT notices must be submitted before/when milestone exposure becomes apparent.,Delay damages exposure and prolongation-cost defence are central commercial issues.,Critical milestone and completion-date impact must be shown by TIA and updated programme.,Milestone register; delay damages clause; critical path to milestone; EOT notices; impacted update; recovery and mitigation records.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,19,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suspension by Employer or non-payment response,Clause 8.11 / Clause 16 / payment provisions,Suspension or reduced progress rights are clause-sensitive and require strict notice and procedural compliance.,"Do not treat cash-flow stress as automatic delay entitlement. If suspension/non-payment route is used, prove contractual trigger, notice, waiting period, and actual critical impact.",Employer unless Contractor strictly follows procedure.,Formal notice before suspension/slowdown and continued updates after impact.,Potential cost/time if valid suspension; high rejection risk if procedure missed.,Potential EOT only for properly invoked suspension or proven critical resource impact.,Payment due notices; unpaid certificates; suspension notices; resource records; productivity records; programme impact; mitigation alternatives.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,20,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Force majeure / exceptional events,Clause 19.1 / 19.4,Force majeure applies only to exceptional events meeting the contract definition and procedural notice requirements.,"Not a default route for ordinary supply, payment, design, or coordination delays. Use only where event is external, unavoidable, and contractually qualifying.",Shared depending on event proof,Strict notice and mitigation records required.,Usually limited; depends on contract wording.,Possible EOT for qualifying event if critical path impacted.,Event proof; authority notices; contemporaneous records; mitigation log; schedule impact; notices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,21,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taking-over, testing and completion prerequisites",Clauses 9 / 10 / General Requirements,"Testing, completion documents, and taking-over requirements can affect completion and handover entitlement.",Late approvals or failed tests can be Employer or Contractor risk depending on cause. Separate defect/rework from delayed Employer/Engineer action.,Shared,"Notify delayed tests, inspections, or taking-over blockers promptly.",Potential prolongation or withheld payment depending on cause.,Can affect completion milestone if on critical handover path.,Inspection requests; test records; NCRs; completion checklist; as-built/submittal status; handover correspondence; programme impact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,22,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shop drawings, as-builts, Revit and CAD deliverables",Clause 4.25 / General Requirements,"The Contractor must submit required shop drawings, as-builts, Revit/CAD source files, and technical documents in the required format and time.",This is both a Contractor obligation and a delay defence. Employer may reject delay if Contractor documents were late/incomplete; Contractor may claim if Engineer response or revised requirement delayed approved documents.,Shared,Submit early; notify delayed review or changed requirement when it affects activities.,Potential cost only for changed requirements or delayed Employer/Engineer response.,Submittal approval delay can affect procurement/construction logic.,Submittal schedule; transmittals; review cycles; comments; revisions; approval dates; linked activities; delay notices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,23,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contractor general obligations and mitigation,Clause 4.1 / Clause 4.6 / Clause 8.6 / Clause 20.1,"The Contractor remains responsible for planning, coordination, resources, mitigation, and cooperation even when Employer-risk events occur.","Employer rebuttal usually alleges lack of readiness, poor sequencing, insufficient resources, late submittals, or failure to mitigate. Delay TIA must answer those points.",Employer unless Contractor readiness and mitigation are documented.,Reservation-of-rights notices should include mitigation steps and remaining blockers.,Weak mitigation reduces recoverable cost.,Weak mitigation can reduce or defeat EOT.,Readiness checklist; resource logs; alternate workfront analysis; mitigation plan; daily reports; correspondence; progress updates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,24,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineer authority and determinations,Clauses 3.1 / 3.5 / 20.2,"Engineer instructions, determinations, and responses form the administrative route before disputes.",Requests should ask for clear instruction/determination and reserve rights. Silence or delayed determination should be recorded and escalated.,Shared,Refer claims and disputed determinations through required contractual steps.,"Determinations affect valuation, payment, and claim entitlement.",Determinations affect accepted EOT and recovery obligations.,Engineer instructions; determinations; submissions; meeting minutes; claim particulars; response deadlines; escalation letters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,25,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispute route and no DAB,Clauses 20.2 to 20.8 / Particular Conditions,Disputes follow the contract?s determination and court route where no DAB process applies.,"Keep the claim file litigation-ready: facts, notices, causation, programme analysis, quantum, and correspondence must be self-contained.",Neutral,Do not skip required Engineer determination/claim procedure before dispute escalation.,Affects recoverability and dispute strategy.,Affects formal EOT recognition and delay damages defence.,Claim dossier; evidence index; chronology; clause matrix; TIA report; quantum file; meeting minutes; formal determinations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
